name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Denmark,DNK,DKK,29.5,5.3375,,2009-07-01
Egypt,EGY,EGP,13,5.58475,,2009-07-01
Euro area,EUZ,EUR,3.31,0.716897269,,2009-07-01
Hong Kong,HKG,HKD,13.3,7.7505,,2009-07-01
Hungary,HUN,HUF,720,199.1577,,2009-07-01
Indonesia,IDN,IDR,20900,10200,,2009-07-01
Israel,ISR,ILS,15,3.97425,,2009-07-01
Japan,JPN,JPY,320,92.565,,2009-07-01
Malaysia,MYS,MYR,6.77,3.602,,2009-07-01
Mexico,MEX,MXN,33,13.8104,,2009-07-01
New Zealand,NZL,NZD,4.9,1.59235,,2009-07-01
Norway,NOR,NOK,40,6.50925,,2009-07-01
Pakistan,PAK,PKR,190,82.6,,2009-07-01
Peru,PER,PEN,8.056,3.0274,,2009-07-01
Philippines,PHL,PHP,99.39,48.385,,2009-07-01
Poland,POL,PLN,7.6,3.15525,,2009-07-01
Russia,RUS,RUB,67,32.7959,,2009-07-01
Saudi Arabia,SAU,SAR,11,3.7504,,2009-07-01
Singapore,SGP,SGD,4.22,1.4645,,2009-07-01
South Africa,ZAF,ZAR,17.95,8.2805,,2009-07-01
South Korea,KOR,KRW,3400,1314.5,,2009-07-01
Sri Lanka,LKA,LKR,210,114.86,,2009-07-01
Sweden,SWE,SEK,39,7.90915,,2009-07-01
Switzerland,CHE,CHF,6.5,1.08605,,2009-07-01
Taiwan,TWN,TWD,75,33.1755,,2009-07-01
Thailand,THA,THB,64.49,34.165,,2009-07-01
Turkey,TUR,TRY,5.65,1.55005,,2009-07-01
UAE,ARE,AED,10,3.673,,2009-07-01
Ukraine,UKR,UAH,14,7.66,,2009-07-01
United States,USA,USD,3.57,1,,2009-07-01
Uruguay,URY,UYU,61,23.17,,2009-07-01
Argentina,ARG,ARS,7,3.7985,,2010-01-01
Australia,AUS,AUD,4.35,1.09355,,2010-01-01
Brazil,BRA,BRL,8.2,1.7233,,2010-01-01
Britain,GBR,GBP,2.29,0.623752495,,2010-01-01
Canada,CAN,CAD,4.12,1.0368,,2010-01-01
Chile,CHL,CLP,1600,503.1,,2010-01-01
China,CHN,CNY,12.5,6.8272,,2010-01-01
Colombia,COL,COP,8200,2095.6,,2010-01-01
Costa Rica,CRI,CRC,2050,582.57,,2010-01-01
Czech Republic,CZE,CZK,67.64,18.21005,,2010-01-01
Denmark,DNK,DKK,30.94,5.16195,,2010-01-01
Egypt,EGY,EGP,13,5.465,,2010-01-01
Euro area,EUZ,EUR,3.36,0.693649638,,2010-01-01
Hong Kong,HKG,HKD,14.8,7.75655,,2010-01-01
Hungary,HUN,HUF,720,186.6508,,2010-01-01
Indonesia,IDN,IDR,20900,9320,,2010-01-01
Israel,ISR,ILS,14.9,3.7325,,2010-01-01
Japan,JPN,JPY,320,91.54,,2010-01-01
Malaysia,MYS,MYR,7.05,3.3875,,2010-01-01
Mexico,MEX,MXN,32,12.81375,,2010-01-01
New Zealand,NZL,NZD,4.9,1.35685,,2010-01-01
Norway,NOR,NOK,40,5.69555,,2010-01-01
Pakistan,PAK,PKR,200,82.6,,2010-01-01
Peru,PER,PEN,8.056,2.8705,,2010-01-01
Philippines,PHL,PHP,101.52,45.92,,2010-01-01
Poland,POL,PLN,8.1,2.83565,,2010-01-01
Russia,RUS,RUB,70,29.927,,2010-01-01
Saudi Arabia,SAU,SAR,10,3.7502,,2010-01-01
Singapore,SGP,SGD,4.45,1.39555,,2010-01-01
South Africa,ZAF,ZAR,17.95,7.3045,,2010-01-01
South Korea,KOR,KRW,3400,1140.5,,2010-01-01
Sri Lanka,LKA,LKR,210,114.86,,2010-01-01
Sweden,SWE,SEK,39,7.0821,,2010-01-01
Switzerland,CHE,CHF,6.5,1.03115,,2010-01-01
Taiwan,TWN,TWD,75,31.8425,,2010-01-01
Thailand,THA,THB,70,33.135,,2010-01-01
Turkey,TUR,TRY,5.65,1.47455,,2010-01-01
UAE,ARE,AED,11,3.673,,2010-01-01
Ukraine,UKR,UAH,14,7.66,,2010-01-01
United States,USA,USD,3.58,1,,2010-01-01
Uruguay,URY,UYU,77,23.17,,2010-01-01
Argentina,ARG,ARS,14,3.93375,,2010-07-01
Australia,AUS,AUD,4.35,1.133722578,,2010-07-01
Brazil,BRA,BRL,8.71,1.77495,,2010-07-01
Britain,GBR,GBP,2.29,0.657375756,,2010-07-01
Canada,CAN,CAD,4.17,1.04235,,2010-07-01
Chile,CHL,CLP,1750,523.65,,2010-07-01
China,CHN,CNY,13.2,6.7769,,2010-07-01
Colombia,COL,COP,8200,1868.45,,2010-07-01
Costa Rica,CRI,CRC,2000,522.115,,2010-07-01
Czech Republic,CZE,CZK,67.64,19.7476,,2010-07-01
Denmark,DNK,DKK,28.5,5.81365,,2010-07-01
Egypt,EGY,EGP,13,5.699,,2010-07-01
Euro area,EUZ,EUR,3.380031071,0.78015291,,2010-07-01
Hong Kong,HKG,HKD,14.8,7.7742,,2010-07-01
Hungary,HUN,HUF,740,221.96915,,2010-07-01
Indonesia,IDN,IDR,22780,9063,,2010-07-01
Israel,ISR,ILS,14.9,3.8619,,2010-07-01
Japan,JPN,JPY,320,87.18,,2010-07-01
Malaysia,MYS,MYR,7.05,3.2135,,2010-07-01
Mexico,MEX,MXN,32,12.782,,2010-07-01
New Zealand,NZL,NZD,5,1.39275766,,2010-07-01
Norway,NOR,NOK,45,6.24625,,2010-07-01
Pakistan,PAK,PKR,210,85.525,,2010-07-01
Peru,PER,PEN,10,2.8275,,2010-07-01
Philippines,PHL,PHP,102,46.47,,2010-07-01
Poland,POL,PLN,8.3,3.1969,,2010-07-01
Russia,RUS,RUB,71,30.44325,,2010-07-01
Saudi Arabia,SAU,SAR,10,3.75045,,2010-07-01
Singapore,SGP,SGD,4.23,1.3742,,2010-07-01
South Africa,ZAF,ZAR,18.45,7.5365,,2010-07-01
South Korea,KOR,KRW,3400,1204.45,,2010-07-01
Sri Lanka,LKA,LKR,210,112.775,,2010-07-01
Sweden,SWE,SEK,48.4,7.37355,,2010-07-01
Switzerland,CHE,CHF,6.5,1.05085,,2010-07-01
Taiwan,TWN,TWD,75,32.1055,,2010-07-01
Thailand,THA,THB,70,32.305,,2010-07-01
Turkey,TUR,TRY,5.95,1.5293,,2010-07-01
UAE,ARE,AED,11,3.67285,,2010-07-01
Ukraine,UKR,UAH,14.5,7.899,,2010-07-01
United States,USA,USD,3.733333333,1,,2010-07-01
Uruguay,URY,UYU,79,21.1,,2010-07-01
Argentina,ARG,ARS,20,4.1325,9138.177,2011-07-01
Australia,AUS,AUD,4.56,0.922381589,55589.549,2011-07-01
Austria,AUT,EUR,3.09,0.697520315,44986.583,2011-07-01
Belgium,BEL,EUR,3.75,0.697520315,42630.113,2011-07-01
Brazil,BRA,BRL,9.5,1.5416,10816.487,2011-07-01
Britain,GBR,GBP,2.39,0.614137444,36119.846,2011-07-01
Canada,CAN,CAD,4.73,0.94585,46214.914,2011-07-01
Chile,CHL,CLP,1850,462.75,11827.958,2011-07-01
China,CHN,CNY,14.65,6.445,4382.136,2011-07-01
Colombia,COL,COP,8400,1770.5,6273.372,2011-07-01
Costa Rica,CRI,CRC,2050,504.305,,2011-07-01
Czech Republic,CZE,CZK,69.32,17.0219,18288.284,2011-07-01
Denmark,DNK,DKK,28.5,5.19845,56147.143,2011-07-01
Egypt,EGY,EGP,14.09,5.962,2788.829,2011-07-01
Estonia,EST,EUR,2.2,0.697520315,14835.96,2011-07-01
Euro area,EUZ,EUR,3.437660401,0.697520315,36947,2011-07-01
Finland,FIN,EUR,3.75,0.697520315,44488.643,2011-07-01
France,FRA,EUR,3.5,0.697520315,41018.597,2011-07-01
Germany,DEU,EUR,3.4,0.697520315,40631.243,2011-07-01
Greece,GRC,EUR,3.26,0.697520315,27301.544,2011-07-01
Hong Kong,HKG,HKD,15.1,7.7918,31590.681,2011-07-01
Hungary,HUN,HUF,760,188.0724,12879.296,2011-07-01
India,IND,INR,84,44.4,1264.839,2011-07-01
Indonesia,IDN,IDR,22534,8523,3015.374,2011-07-01
Ireland,IRL,EUR,3.8,0.697520315,45688.759,2011-07-01
Israel,ISR,ILS,15.9,3.40335,28685.616,2011-07-01
Italy,ITA,EUR,3.5,0.697520315,34058.72,2011-07-01
Japan,JPN,JPY,320,78.365,42820.392,2011-07-01
Malaysia,MYS,MYR,7.2,2.973,8423.176,2011-07-01
Mexico,MEX,MXN,32,11.67075,9565.962,2011-07-01
Netherlands,NLD,EUR,3.25,0.697520315,47172.14,2011-07-01
New Zealand,NZL,NZD,5.1,1.156069364,32145.233,2011-07-01
Norway,NOR,NOK,45,5.41405,84443.634,2011-07-01
Pakistan,PAK,PKR,205.13,86.345,1049.749,2011-07-01
Peru,PER,PEN,10,2.7375,5171.651,2011-07-01
Philippines,PHL,PHP,118,42.41,2007.362,2011-07-01
Poland,POL,PLN,8.63,2.7968,12300.126,2011-07-01
Portugal,PRT,EUR,2.9,0.697520315,21558.78,2011-07-01
Russia,RUS,RUB,75,27.7525,10437.49,2011-07-01
Saudi Arabia,SAU,SAR,10,3.7502,16995.78,2011-07-01
Singapore,SGP,SGD,4.41,1.20705,43116.689,2011-07-01
South Africa,ZAF,ZAR,19.45,6.76885,7157.801,2011-07-01
South Korea,KOR,KRW,3700,1056.2,20590.962,2011-07-01
Spain,ESP,EUR,3.5,0.697520315,30639.295,2011-07-01
Sri Lanka,LKA,LKR,280,109.475,,2011-07-01
Sweden,SWE,SEK,48.4,6.3352,48874.608,2011-07-01
Switzerland,CHE,CHF,6.5,0.80615,67245.997,2011-07-01
Taiwan,TWN,TWD,75,28.834,18457.752,2011-07-01
Thailand,THA,THB,70,29.75,4991.525,2011-07-01
Turkey,TUR,TRY,6.5,1.72285,10398.685,2011-07-01
UAE,ARE,AED,12,3.67305,,2011-07-01
Ukraine,UKR,UAH,16.5,7.994,,2011-07-01
United States,USA,USD,4.065,1,47283.633,2011-07-01
Uruguay,URY,UYU,90,18.45,,2011-07-01
Venezuela,VEN,VEF,28,4.29465,,2011-07-01
Argentina,ARG,ARS,20,4.3135,9138.177,2012-01-01
Australia,AUS,AUD,4.8,0.972337012,55589.549,2012-01-01
Austria,AUT,EUR,3.09,0.788239467,44986.583,2012-01-01
Belgium,BEL,EUR,3.7,0.788239467,42630.113,2012-01-01
Brazil,BRA,BRL,10.25,1.805,10816.487,2012-01-01
Britain,GBR,GBP,2.49,0.651253663,36119.846,2012-01-01
Canada,CAN,CAD,4.73,1.02095,46214.914,2012-01-01
Chile,CHL,CLP,2050,506.05,11827.958,2012-01-01
China,CHN,CNY,15.4,6.3155,4382.136,2012-01-01
Colombia,COL,COP,8400,1852.15,6273.372,2012-01-01
Costa Rica,CRI,CRC,2050,509.54,,2012-01-01
Czech Republic,CZE,CZK,70.22,20.36535,18288.284,2012-01-01
Denmark,DNK,DKK,31.5,5.86135,56147.143,2012-01-01
Egypt,EGY,EGP,15.5,6.037,2788.829,2012-01-01
Estonia,EST,EUR,2.04,0.788239467,14835.96,2012-01-01
Euro area,EUZ,EUR,3.49245637,0.788239467,36947,2012-01-01
Finland,FIN,EUR,3.75,0.788239467,44488.643,2012-01-01
France,FRA,EUR,3.6,0.788239467,41018.597,2012-01-01
Germany,DEU,EUR,3.53,0.788239467,40631.243,2012-01-01
Greece,GRC,EUR,3.3,0.788239467,27301.544,2012-01-01
Hong Kong,HKG,HKD,16.5,7.76735,31590.681,2012-01-01
Hungary,HUN,HUF,645,245.69425,12879.296,2012-01-01
India,IND,INR,84,51.905,1264.839,2012-01-01
Indonesia,IDN,IDR,22534,9160,3015.374,2012-01-01
Ireland,IRL,EUR,3.8,0.788239467,45688.759,2012-01-01
Israel,ISR,ILS,15.9,3.8485,28685.616,2012-01-01
Italy,ITA,EUR,3.5,0.788239467,34058.72,2012-01-01
Japan,JPN,JPY,320,76.92,42820.392,2012-01-01
Malaysia,MYS,MYR,7.35,3.13955,8423.176,2012-01-01
Mexico,MEX,MXN,37,13.6844,9565.962,2012-01-01
Netherlands,NLD,EUR,3.25,0.788239467,47172.14,2012-01-01
New Zealand,NZL,NZD,5.1,1.26000126,32145.233,2012-01-01
Norway,NOR,NOK,41,6.0399,84443.634,2012-01-01
Pakistan,PAK,PKR,260,90.05,1049.749,2012-01-01
Peru,PER,PEN,10,2.6925,5171.651,2012-01-01
Philippines,PHL,PHP,118,44.005,2007.362,2012-01-01
Poland,POL,PLN,9.1,3.52045,12300.126,2012-01-01
Portugal,PRT,EUR,2.9,0.788239467,21558.78,2012-01-01
Russia,RUS,RUB,81,31.7693,10437.49,2012-01-01
Saudi Arabia,SAU,SAR,10,3.7502,16995.78,2012-01-01
Singapore,SGP,SGD,4.85,1.2928,43116.689,2012-01-01
South Africa,ZAF,ZAR,19.95,8.1304,7157.801,2012-01-01
South Korea,KOR,KRW,3700,1158.75,20590.962,2012-01-01
Spain,ESP,EUR,3.5,0.788239467,30639.295,2012-01-01
Sri Lanka,LKA,LKR,290,113.93,,2012-01-01
Sweden,SWE,SEK,41,6.9338,48874.608,2012-01-01
Switzerland,CHE,CHF,6.5,0.9551,67245.997,2012-01-01
Taiwan,TWN,TWD,75,29.9795,18457.752,2012-01-01
Thailand,THA,THB,78,31.75,4991.525,2012-01-01
Turkey,TUR,TRY,6.6,1.86295,10398.685,2012-01-01
UAE,ARE,AED,12,3.673,,2012-01-01
Ukraine,UKR,UAH,17,8.0405,,2012-01-01
United States,USA,USD,4.19722,1,47283.633,2012-01-01
Uruguay,URY,UYU,90,19.45,,2012-01-01
Venezuela,VEN,VEF,30,4.29465,,2012-01-01
Argentina,ARG,ARS,19,4.56625,9138.177,2012-07-01
Australia,AUS,AUD,4.56,0.974326497,55589.549,2012-07-01
Austria,AUT,EUR,3.19,0.824844311,44986.583,2012-07-01
Belgium,BEL,EUR,3.8,0.824844311,42630.113,2012-07-01
Brazil,BRA,BRL,10.08,2.04215,10816.487,2012-07-01
Britain,GBR,GBP,2.69,0.646266197,36119.846,2012-07-01
Canada,CAN,CAD,5.12,1.01945,46214.914,2012-07-01
Chile,CHL,CLP,2050,493.05,11827.958,2012-07-01
China,CHN,CNY,15.65,6.3885,4382.136,2012-07-01
Colombia,COL,COP,8600,1804.475,6273.372,2012-07-01
Czech Republic,CZE,CZK,70.33,21.048,18288.284,2012-07-01
Denmark,DNK,DKK,28.5,6.1356,56147.143,2012-07-01
Egypt,EGY,EGP,16,6.0665,2788.829,2012-07-01
Estonia,EST,EUR,2.04,0.824844311,14835.96,2012-07-01
Euro area,EUZ,EUR,3.583482241,0.824844311,36947,2012-07-01
Finland,FIN,EUR,3.75,0.824844311,44488.643,2012-07-01
France,FRA,EUR,3.6,0.824844311,41018.597,2012-07-01
Germany,DEU,EUR,3.64,0.824844311,40631.243,2012-07-01
Greece,GRC,EUR,2.683,0.824844311,27301.544,2012-07-01
Hong Kong,HKG,HKD,16.5,7.75815,31590.681,2012-07-01
Hungary,HUN,HUF,830,238.2151,12879.296,2012-07-01
India,IND,INR,89,56.165,1264.839,2012-07-01
Indonesia,IDN,IDR,24200,9482.5,3015.374,2012-07-01
Ireland,IRL,EUR,3.49,0.824844311,45688.759,2012-07-01
Israel,ISR,ILS,11.9,4.07625,28685.616,2012-07-01
Italy,ITA,EUR,3.6,0.824844311,34058.72,2012-07-01
Japan,JPN,JPY,320,78.22,42820.392,2012-07-01
Malaysia,MYS,MYR,7.4,3.1735,8423.176,2012-07-01
Mexico,MEX,MXN,37,13.687,9565.962,2012-07-01
Netherlands,NLD,EUR,3.38,0.824844311,47172.14,2012-07-01
New Zealand,NZL,NZD,5.1,1.273560876,32145.233,2012-07-01
Norway,NOR,NOK,43,6.09205,84443.634,2012-07-01
Pakistan,PAK,PKR,285,94.605,1049.749,2012-07-01
Philippines,PHL,PHP,118,42.2,2007.362,2012-07-01
Poland,POL,PLN,9.1,3.46035,12300.126,2012-07-01
Portugal,PRT,EUR,4.95,0.824844311,21558.78,2012-07-01
Russia,RUS,RUB,75,32.76525,10437.49,2012-07-01
Saudi Arabia,SAU,SAR,10,3.75025,16995.78,2012-07-01
Singapore,SGP,SGD,4.4,1.2585,43116.689,2012-07-01
South Africa,ZAF,ZAR,19.95,8.4683,7157.801,2012-07-01
South Korea,KOR,KRW,3700,1151,20590.962,2012-07-01
Spain,ESP,EUR,3.5,0.824844311,30639.295,2012-07-01
Sri Lanka,LKA,LKR,290,131,,2012-07-01
Sweden,SWE,SEK,39.97301987,6.9777,48874.608,2012-07-01
Switzerland,CHE,CHF,6.5,0.9906,67245.997,2012-07-01
Taiwan,TWN,TWD,75,30.1955,18457.752,2012-07-01
Thailand,THA,THB,82,31.7,4991.525,2012-07-01
Turkey,TUR,TRY,8.25,1.8269,10398.685,2012-07-01
UAE,ARE,AED,12,3.67295,,2012-07-01
Ukraine,UKR,UAH,15,8.0855,,2012-07-01
United States,USA,USD,4.3275,1,47283.633,2012-07-01
Uruguay,URY,UYU,99,21.87,,2012-07-01
Venezuela,VEN,VEF,34,4.29465,,2012-07-01
Argentina,ARG,ARS,19,4.9765,10959.082,2013-01-01
Australia,AUS,AUD,4.7,0.959094615,66371.218,2013-01-01
Austria,AUT,EUR,3.39,0.736946829,49687.509,2013-01-01
Belgium,BEL,EUR,3.8,0.736946829,46989.381,2013-01-01
Brazil,BRA,BRL,11.25,1.99335,12788.551,2013-01-01
Britain,GBR,GBP,2.69,0.633211968,38811.424,2013-01-01
Canada,CAN,CAD,5.41,1.0029,50496.043,2013-01-01
Chile,CHL,CLP,2050,471.75,14403.111,2013-01-01
China,CHN,CNY,16,6.2204,5416.668,2013-01-01
Colombia,COL,COP,8600,1773.175,7114.33,2013-01-01
Costa Rica,CRI,CRC,2200,500.83,,2013-01-01
Czech Republic,CZE,CZK,70.33,18.89495,20435.875,2013-01-01
Denmark,DNK,DKK,28.5,5.49795,59708.962,2013-01-01
Egypt,EGY,EGP,16,6.68575,2931.827,2013-01-01
Estonia,EST,EUR,2.7,0.736946829,16568.203,2013-01-01
Euro area,EUZ,EUR,3.594849572,0.736946829,40137.01059,2013-01-01
Finland,FIN,EUR,3.75,0.736946829,48782.645,2013-01-01
France,FRA,EUR,3.6,0.736946829,44007.331,2013-01-01
Germany,DEU,EUR,3.64,0.736946829,44110.989,2013-01-01
Greece,GRC,EUR,3.3,0.736946829,26734.876,2013-01-01
Hong Kong,HKG,HKD,17,7.7591,34259.337,2013-01-01
Hungary,HUN,HUF,830,217.46935,14050.009,2013-01-01
India,IND,INR,89,53.395,1513.618,2013-01-01
Indonesia,IDN,IDR,27939,9767.5,3511.799,2013-01-01
Ireland,IRL,EUR,3.49,0.736946829,48288.731,2013-01-01
Israel,ISR,ILS,14.9,3.72455,32350.817,2013-01-01
Italy,ITA,EUR,3.85,0.736946829,36266.876,2013-01-01
Japan,JPN,JPY,320,91.065,45869.72,2013-01-01
Malaysia,MYS,MYR,7.95,3.083,10084.608,2013-01-01
Mexico,MEX,MXN,37,12.7384,10146.041,2013-01-01
Netherlands,NLD,EUR,3.45,0.736946829,50216.422,2013-01-01
New Zealand,NZL,NZD,5.2,1.202428906,35973.02,2013-01-01
Norway,NOR,NOK,43,5.4831,97607.32,2013-01-01
Pakistan,PAK,PKR,290,97.665,1199.111,2013-01-01
Peru,PER,PEN,10,2.5595,5904.494,2013-01-01
Philippines,PHL,PHP,118,40.6,2344.889,2013-01-01
Poland,POL,PLN,9.1,3.092,13468.655,2013-01-01
Portugal,PRT,EUR,2.95,0.736946829,22358.894,2013-01-01
Russia,RUS,RUB,72.88,30.045,12993.358,2013-01-01
Saudi Arabia,SAU,SAR,11,3.7502,21196.287,2013-01-01
Singapore,SGP,SGD,4.5,1.23485,49270.872,2013-01-01
South Africa,ZAF,ZAR,20.9,9.047,8078.451,2013-01-01
South Korea,KOR,KRW,3700,1085.475,22424.062,2013-01-01
Spain,ESP,EUR,3.5,0.736946829,32077.084,2013-01-01
Sri Lanka,LKA,LKR,350,126.45,,2013-01-01
Sweden,SWE,SEK,40.55930138,6.3492,57638.234,2013-01-01
Switzerland,CHE,CHF,6.5,0.9123,83072.845,2013-01-01
Taiwan,TWN,TWD,75,29.502,20082.918,2013-01-01
Thailand,THA,THB,87,29.755,5394.714,2013-01-01
Turkey,TUR,TRY,8.45,1.76875,10362.609,2013-01-01
UAE,ARE,AED,12,3.67305,,2013-01-01
Ukraine,UKR,UAH,19,8.144,,2013-01-01
United States,USA,USD,4.367395833,1,48327.861,2013-01-01
Uruguay,URY,UYU,105,19.28,,2013-01-01
Venezuela,VEN,VEF,39,4.29465,,2013-01-01
Argentina,ARG,ARS,21,5.4125,10959.082,2013-07-01
Australia,AUS,AUD,5.035,1.089858863,66371.218,2013-07-01
Austria,AUT,EUR,3.39,0.777756173,49687.509,2013-07-01
Belgium,BEL,EUR,3.7,0.777756173,46989.381,2013-07-01
Brazil,BRA,BRL,12,2.27065,12788.551,2013-07-01
Britain,GBR,GBP,2.69,0.669142494,38811.424,2013-07-01
Canada,CAN,CAD,5.53,1.05125,50496.043,2013-07-01
Chile,CHL,CLP,2000,508.155,14403.111,2013-07-01
China,CHN,CNY,16,6.1341,5416.668,2013-07-01
Colombia,COL,COP,8600,1921,7114.33,2013-07-01
Costa Rica,CRI,CRC,2150,498.675,,2013-07-01
Czech Republic,CZE,CZK,70.45,20.1828,20435.875,2013-07-01
Denmark,DNK,DKK,28.5,5.8006,59708.962,2013-07-01
Egypt,EGY,EGP,16.75,7.00915,2931.827,2013-07-01
Estonia,EST,EUR,2.75,0.777756173,16568.203,2013-07-01
Euro area,EUZ,EUR,3.623870489,0.777756173,40137.01059,2013-07-01
Finland,FIN,EUR,4.1,0.777756173,48782.645,2013-07-01
France,FRA,EUR,3.9,0.777756173,44007.331,2013-07-01
